,Compound_name,Molecular_weight,Polar_surface_area,Complexity,Partition_coef,Heavy_atom_count,H_bond_donor_count,H_bond_acceptor_count,Rotatable_bond_count,Exact_mass,Monoisotopic_mass,Formal_charge,Cov-bonded_unit_count,Isotope_atom_count,Total_atom_stereo_count,Defined_atom_stereo_count,Undefined_atoms_stereo_count,Total_bond_stereo_count,Defined_bond_stereo_count,Undefined_bond_stereo_count,Part_coef_group
0,Calcitriol,416.6,60.7,688.0,5.1,30,3,3,6,416.329,416.329,0,1,0,6,6,0,2,2,0,Larger than 6
1,Ubiquinol,865.4,58.9,1600.0,20.2,63,2,4,31,864.7,864.7,0,1,0,0,0,0,9,9,0,Larger than 6
2,Glutamine,146.14,106.0,146.0,-3.1,10,3,4,4,146.069,146.069,0,1,0,1,1,0,0,0,0,Between -11 and 5
3,Aspirin,180.16,63.6,212.0,1.2,13,1,4,3,180.042,180.042,0,1,0,0,0,0,0,0,0,Between -11 and 5
4,1-Methylnicotinamide,137.16,47.0,136.0,-0.1,10,1,1,1,137.071,137.071,1,1,0,0,0,0,0,0,0,Between -11 and 5
5,Losartan,422.9,92.5,520.0,4.3,30,2,5,8,422.162,422.162,0,1,0,0,0,0,0,0,0,Between -11 and 5
6,Vitamin E,430.7,29.5,503.0,10.7,31,1,2,12,430.381,430.381,0,1,0,3,3,0,0,0,0,Larger than 6
7,Nicotinamide,122.12,56.0,114.0,-0.4,9,1,2,1,122.048,122.048,0,1,0,0,0,0,0,0,0,Between -11 and 5
8,Adenosine,267.24,140.0,335.0,-1.1,19,4,8,2,267.097,267.097,0,1,0,4,4,0,0,0,0,Between -11 and 5
9,Inosine,268.23,129.0,405.0,-1.3,19,4,7,2,268.081,268.081,0,1,0,4,4,0,0,0,0,Between -11 and 5
10,Nicotinamide riboside,255.25,117.0,314.0,-1.8,18,4,5,3,255.098,255.098,1,1,0,4,4,0,0,0,0,Between -11 and 5
11,Dimethyl Fumarate,144.12,52.6,141.0,0.7,10,0,4,4,144.042,144.042,0,1,0,0,0,0,1,1,0,Between -11 and 5
12,Inosinic acid,348.21,176.0,555.0,-3.0,23,5,10,4,348.047,348.047,0,1,0,4,4,0,0,0,0,Between -11 and 5
